2017-02-14 10:31:54 status unpacked sed:amd64 4.2.2-4+deb8u1
2017-02-14 10:31:54 install sensible-utils:all <none> 0.0.9
2017-02-14 10:31:54 status half-installed sensible-utils:all 0.0.9
2017-02-14 10:31:54 status unpacked sensible-utils:all 0.0.9
2017-02-14 10:31:54 status unpacked sensible-utils:all 0.0.9
2017-02-14 10:31:54 install login:amd64 <none> 1:4.2-3+deb8u1
2017-02-14 10:31:54 status half-installed login:amd64 1:4.2-3+deb8u1
2017-02-14 10:31:54 status unpacked login:amd64 1:4.2-3+deb8u1
2017-02-14 10:31:54 status unpacked login:amd64 1:4.2-3+deb8u1
2017-02-14 10:31:54 install passwd:amd64 <none> 1:4.2-3+deb8u1
2017-02-14 10:31:54 status half-installed passwd:amd64 1:4.2-3+deb8u1
2017-02-14 10:31:54 status unpacked passwd:amd64 1:4.2-3+deb8u1
